latitude,longitude,lat-long
43.646152,-79.434371,"43.6475,-79.43305555555555"
43.646186,-79.383752,"43.6458569,-79.3853654"
43.646214,-79.382588,"43.6477785,-79.3847928"
43.646233,-79.409375,"43.645469,-79.411084"
43.646235,-79.443219,"43.649172,-79.4445087"
43.646237,-79.443749,"43.646677,-79.442741"
43.646255,-79.363429,"43.645215,-79.364898"
43.646301,-79.393811,"43.6472019,-79.3953394"
43.646371,-79.382753,"43.6451635,-79.3831757"
43.646396,-79.390142,"43.6461,-79.3895"
43.646483,-79.388296,"43.6461,-79.3895"
43.646558,-79.47562,"43.6438036,-79.4770327"
43.646715,-79.38033,"43.647259,-79.379878"
43.646727,-79.40721,"43.646552,-79.406468"
43.646744,-79.405437,"43.646552,-79.406468"
43.646762,-79.35332,"43.6482995,-79.3552533"
43.646791,-79.378769,"43.646162,-79.378912"
43.646865,-79.387553,"43.6462176,-79.3855048"
43.646914,-79.389197,"43.6463574,-79.391206"
43.646946,-79.382564,"43.645609,-79.380386"
43.646946,-79.382564,"43.6477785,-79.3847928"
43.64709,-79.396049,"43.645102,-79.39744979999999"
43.647128,-79.379274,"43.64595,-79.378761"
43.647128,-79.379274,"43.647259,-79.379878"
43.647144,-79.38138,"43.6480008,-79.383177"
43.647163,-79.405083,"43.645324,-79.40345"
43.647189,-79.395457,"43.648437,-79.39838"
43.647214,-79.378867,"43.646144,-79.377962"
43.647214,-79.443657,"43.649172,-79.4445087"
43.64727,-79.376539,"43.6469251,-79.3733192"
43.647327,-79.381176,"43.646734,-79.38301"
43.647327,-79.381176,"43.6452972,-79.3827914"
43.647399,-79.380953,"43.6480008,-79.383177"
43.647399,-79.380953,"43.646144,-79.377962"
43.647399,-79.380953,"43.648575,-79.380042"
43.647399,-79.380953,"43.6452972,-79.3827914"
43.647516,-79.370828,"43.648655,-79.367061"
43.647539,-79.509625,"43.64839,-79.51008"
43.647552,-79.379622,"43.646162,-79.378912"
43.647559,-79.511639,"43.64839,-79.51008"
43.647631,-79.396323,"43.6462574,-79.3973381"
43.647659,-79.511047,"43.64839,-79.51008"
43.647666,-79.372772,"43.6469928,-79.3706665"
43.647712,-79.388249,"43.6481303,-79.38632"
43.647721,-79.381378,"43.646734,-79.38301"
43.647777,-79.442859,"43.6504218,-79.4407647"
43.647803,-79.401679,"43.6484201,-79.40051919999999"
43.647855,-79.490836,"43.64920406876699,-79.49336334201408"
43.647863,-79.394677,"43.6472019,-79.3953394"
43.647863,-79.394677,"43.6494896,-79.393535"
43.647882,-79.401365,"43.6484201,-79.40051919999999"
43.647901,-79.388746,"43.645859,-79.38783"
43.647961,-79.373984,"43.6476616,-79.37549"
43.648016,-79.379415,"43.645609,-79.380386"
43.648038,-79.398444,"43.6462574,-79.3973381"
43.648055,-79.396671,"43.6462574,-79.3973381"
43.648068,-79.396486,"43.649147,-79.395504"
43.648091,-79.378971,"43.647259,-79.379878"
43.648105,-79.384384,"43.6477785,-79.3847928"
43.648141,-79.417861,"43.649722,-79.416944"
43.648174,-79.486493,"43.647663,-79.487583"
43.648226,-79.395857,"43.6472019,-79.3953394"
43.64824,-79.376366,"43.6495789,-79.3762096"
43.648252,-79.379765,"43.648928,-79.378623"
43.648272,-79.389039,"43.648711,-79.389728"
43.648276,-79.505636,"43.6492,-79.50601999999999"
43.64833,-79.371986,"43.650325,-79.372287"
43.648347,-79.397278,"43.648437,-79.39838"
43.648348,-79.383348,"43.64852,-79.380576"
43.648357,-79.454125,"43.648657,-79.458111"
43.648359,-79.506111,"43.6492,-79.50601999999999"
43.64838,-79.485217,"43.647663,-79.487583"
43.648386,-79.373537,"43.650325,-79.372287"
43.64839,-79.381999,"43.64852,-79.380576"
43.648398,-79.374147,"43.6476616,-79.37549"
43.6484,-79.397333,"43.649147,-79.395504"
43.6484,-79.397333,"43.648437,-79.39838"
43.648401,-79.449691,"43.6467433,-79.446895"
43.648439,-79.48518,"43.647663,-79.487583"
43.648519,-79.402635,"43.6484201,-79.40051919999999"
43.648549,-79.387541,"43.648711,-79.389728"
43.648552,-79.396002,"43.650033,-79.396555"
43.648575,-79.398016,"43.650033,-79.396555"
43.648625,-79.385729,"43.6503935,-79.3860211"
43.648645,-79.374607,"43.6469251,-79.3733192"
43.648733,-79.484994,"43.64976,-79.48477"
43.648743,-79.420388,"43.651111111111106,-79.4213888888889"
43.648755,-79.371539,"43.6469251,-79.3733192"
43.648776,-79.385193,"43.6462176,-79.3855048"
43.648793,-79.371945,"43.6469928,-79.3706665"
43.648886,-79.37516,"43.6495789,-79.3762096"
43.648897,-79.379649,"43.64852,-79.380576"
43.648912,-79.371704,"43.6478206,-79.3704721"
43.648989,-79.484568,"43.64976,-79.48477"
43.649038,-79.391639,"43.648711,-79.389728"
43.649041,-79.484623,"43.64976,-79.48477"
43.649052,-79.369763,"43.6487245,-79.36839"
43.649052,-79.369763,"43.648655,-79.367061"
43.649088,-79.371592,"43.6478206,-79.3704721"
43.649094,-79.420958,"43.651145,-79.423742"
43.649099,-79.386927,"43.6481303,-79.38632"
43.649126,-79.379592,"43.648575,-79.380042"
43.649133,-79.37174,"43.65003919999999,-79.3733541"
43.649155,-79.386546,"43.65049,-79.3873"
43.649168,-79.395259,"43.649147,-79.395504"
43.64918,-79.371093,"43.6478206,-79.3704721"
43.649187,-79.420459,"43.649722,-79.416944"
43.649242,-79.42201,"43.651111111111106,-79.4213888888889"
43.649256,-79.372367,"43.6469928,-79.3706665"
43.649301,-79.394296,"43.650033,-79.396555"
43.649376,-79.426333,"43.6493472,-79.42668"
43.649412,-79.505534,"43.6492,-79.50601999999999"
43.649423,-79.386191,"43.65158,-79.38655"
43.649425,-79.387072,"43.65049,-79.3873"
43.64943,-79.42486,"43.6493472,-79.42668"
43.649457,-79.421214,"43.651111111111106,-79.4213888888889"
43.649561,-79.425334,"43.651145,-79.423742"
43.649574,-79.42245,"43.651145,-79.423742"
43.649598,-79.483918,"43.6501644,-79.48296909999999"
43.649612,-79.483733,"43.6501644,-79.48296909999999"
43.649626,-79.419828,"43.649722,-79.416944"
43.649632,-79.434368,"43.6475,-79.43305555555555"
43.649638,-79.440446,"43.6504218,-79.4407647"
43.649638,-79.440446,"43.651238,-79.43868"
43.649648,-79.393056,"43.6494896,-79.393535"
43.64965,-79.367708,"43.648655,-79.367061"
43.649654,-79.482384,"43.6501644,-79.48296909999999"
43.649655,-79.427125,"43.6493472,-79.42668"
43.649679,-79.365749,"43.649709,-79.364184"
43.649682,-79.435217,"43.6486599,-79.4376413"
43.649705,-79.380899,"43.648575,-79.380042"
43.649713,-79.35981,"43.650256,-79.36163"
43.649752,-79.376372,"43.648928,-79.378623"
43.649769,-79.359079,"43.650256,-79.36163"
43.649785,-79.436122,"43.6486599,-79.4376413"
43.649789,-79.358802,"43.6482995,-79.3552533"
43.649792,-79.375818,"43.651678,-79.375233"
43.649792,-79.375818,"43.6495789,-79.3762096"
43.649802,-79.388067,"43.6503935,-79.3860211"
43.64982,-79.433105,"43.64957,-79.432446"
43.649833,-79.359743,"43.6513927,-79.35794659999999"
43.649838,-79.438468,"43.6504218,-79.4407647"
43.649842,-79.369702,"43.651118,-79.369411"
43.649868,-79.384058,"43.6481303,-79.38632"
43.649868,-79.384058,"43.6480008,-79.383177"
43.64988,-79.370736,"43.650325,-79.372287"
43.64988,-79.370736,"43.6509552,-79.3707"
43.64989,-79.359065,"43.650279,-79.356832"
43.649897,-79.360408,"43.6513927,-79.35794659999999"
43.649923,-79.360833,"43.651318,-79.36023"
43.649981,-79.383281,"43.6503935,-79.3860211"
43.650015,-79.435271,"43.6475,-79.43305555555555"
43.650015,-79.435271,"43.651238,-79.43868"
43.650057,-79.39152,"43.6494896,-79.393535"
43.650086,-79.435843,"43.6486599,-79.4376413"
43.650115,-79.358947,"43.652686,-79.358395"
43.650134,-79.437487,"43.651238,-79.43868"
43.650137,-79.357875,"43.6482995,-79.3552533"
43.650154,-79.359187,"43.650279,-79.356832"
43.650189,-79.36957,"43.6487245,-79.36839"
43.650192,-79.39141,"43.650077,-79.391291"
43.65021,-79.360738,"43.649709,-79.364184"
43.650212,-79.374669,"43.6476616,-79.37549"
43.650212,-79.374669,"43.652634,-79.374222"
43.650212,-79.3886,"43.650077,-79.391291"
43.650244,-79.368036,"43.6487245,-79.36839"
43.65026,-79.450364,"43.650492,-79.450842"
43.650318,-79.359722,"43.651318,-79.36023"
43.650358,-79.384276,"43.65158,-79.38655"
43.650446,-79.389245,"43.65263,-79.38766"
43.650446,-79.389245,"43.65049,-79.3873"
43.650473,-79.388875,"43.65263,-79.38766"
43.650499,-79.359849,"43.650256,-79.36163"
43.650505,-79.389208,"43.652327224103,-79.3882538196087"
43.650638,-79.450565,"43.6521,-79.4486"
43.650642,-79.364079,"43.651885,-79.3649"
43.650642,-79.364079,"43.65205,-79.362198"
43.650663,-79.450989,"43.650492,-79.450842"
43.650674,-79.372171,"43.652777,-79.372637"
43.650702,-79.359367,"43.650279,-79.356832"
43.650708,-79.38564,"43.650745,-79.383633"
43.650719,-79.403266,"43.6519501,-79.4060978"
43.65073,-79.358203,"43.652219,-79.354455"
43.650744,-79.365778,"43.651885,-79.3649"
43.650783,-79.358258,"43.6513927,-79.35794659999999"
43.650794,-79.381353,"43.650745,-79.383633"
43.650838,-79.476965,"43.65143,-79.47779"
43.650846,-79.381408,"43.650745,-79.383633"
43.65085,-79.375939,"43.653236,-79.376716"
43.650858,-79.378932,"43.652822,-79.378208"
43.650896,-79.383052,"43.6517925,-79.38269509999999"
43.650896,-79.383052,"43.6506,-79.381285"
43.6509,-79.358183,"43.651318,-79.36023"
43.650919,-79.450563,"43.650492,-79.450842"
43.650923,-79.378803,"43.651678,-79.375233"
43.650938,-79.414147,"43.65246,-79.413528"
43.651005,-79.439403,"43.6508333333333,-79.4430555555556"
43.651019,-79.477555,"43.65143,-79.47779"
43.651021,-79.389765,"43.650077,-79.391291"
43.651031,-79.387375,"43.652327224103,-79.3882538196087"
43.651039,-79.368677,"43.6509552,-79.3707"
43.651046,-79.477185,"43.65143,-79.47779"
43.651059,-79.379245,"43.6506,-79.381285"
43.651059,-79.493832,"43.65016869999999,-79.4963345"
43.651111,-79.368454,"43.6535052,-79.3667689"
43.651124,-79.365184,"43.65205,-79.362198"
43.651132,-79.379023,"43.648928,-79.378623"
43.651155,-79.384122,"43.65158,-79.38655"
43.651222,-79.412556,"43.651281,-79.411717"
43.651248,-79.475208,"43.65182,-79.47421"
43.651375,-79.411225,"43.651281,-79.411717"
43.6514,-79.375325,"43.652634,-79.374222"
43.651486,-79.445885,"43.6508333333333,-79.4430555555556"
43.651486,-79.445885,"43.649172,-79.4445087"
43.651499,-79.374733,"43.65003919999999,-79.3733541"
43.651499,-79.374733,"43.652777,-79.372637"
43.65151,-79.379223,"43.652276,-79.380701"
