latitude,longitude,lat-long
43.656293,-79.358898,"43.6561111,-79.36138888888888"
43.656293,-79.37442,"43.658295,-79.372346"
43.6563,-79.377414,"43.6574766,-79.373446"
43.656347,-79.390699,"43.655227,-79.39201"
43.656399,-79.369855,"43.658777,-79.369596"
43.656423,-79.378041,"43.6582,-79.3768"
43.656503,-79.380812,"43.655431,-79.380653"
43.656554,-79.377782,"43.6582,-79.3768"
43.656597,-79.388535,"43.6578449,-79.3899265"
43.656656,-79.402671,"43.6571,-79.4056"
43.656674,-79.383879,"43.656026,-79.385327"
43.656675,-79.403189,"43.6576,-79.4032"
43.656683,-79.38126,"43.656633,-79.379625"
43.656771,-79.407272,"43.6563888888889,-79.4091666666667"
43.656863,-79.380496,"43.656094,-79.381484"
43.656863,-79.380496,"43.655766,-79.3802"
43.656927,-79.434415,"43.657343,-79.43112"
43.656929,-79.340765,"43.6544839,-79.34105699999999"
43.656999,-79.448033,"43.6585504,-79.4497659"
43.657001,-79.357655,"43.656784782853144,-79.35627385059036"
43.657001,-79.357655,"43.656638,-79.358749"
43.657062,-79.405588,"43.6576,-79.4032"
43.657065,-79.380808,"43.656927,-79.378497"
43.657073,-79.400026,"43.658148,-79.398167"
43.657117,-79.380863,"43.656094,-79.381484"
43.65718,-79.395461,"43.6560758,-79.393259"
43.657195,-79.447644,"43.6585504,-79.4497659"
43.657236,-79.452466,"43.6563889,-79.45166666666667"
43.657261,-79.387385,"43.6558557,-79.3894093"
43.657312,-79.374302,"43.658295,-79.372346"
43.657344,-79.370754,"43.658777,-79.369596"
43.657366,-79.376648,"43.6559476,-79.37558829999999"
43.65738,-79.38343,"43.6591666666667,-79.3855555555556"
43.65739,-79.448049,"43.6563889,-79.45166666666667"
43.657425,-79.487426,"43.658574,-79.487246"
43.657452,-79.390174,"43.65637299999999,-79.38781039999999"
43.657487,-79.36536,"43.659575,-79.365769"
43.657504,-79.365449,"43.658816,-79.367318"
43.657504,-79.365449,"43.659575,-79.365769"
43.657675,-79.402553,"43.6571,-79.4056"
43.657694,-79.389932,"43.65995,-79.38964"
43.657769,-79.381154,"43.658938,-79.383518"
43.657787,-79.386742,"43.657763,-79.389165"
43.657825,-79.382706,"43.657424,-79.381019"
43.657825,-79.382706,"43.657838,-79.38631"
43.657847,-79.401739,"43.658148,-79.398167"
43.657859,-79.408521,"43.66,-79.4088888888889"
43.657984,-79.359587,"43.660207,-79.361275"
43.657996,-79.381892,"43.65988,-79.38279"
43.658008,-79.379415,"43.656927,-79.378497"
43.658068,-79.438011,"43.6589882,-79.438715"
43.658133,-79.443259,"43.6587734,-79.443054"
43.658159,-79.352508,"43.659471,-79.350325"
43.658173,-79.329741,"43.659195,-79.329196"
43.658212,-79.382019,"43.658938,-79.383518"
43.658254,-79.376789,"43.657266,-79.374756"
43.65829,-79.398724,"43.660274,-79.398049"
43.658323,-79.382037,"43.657424,-79.381019"
43.658364,-79.338,"43.6592088,-79.3348396"
43.658434,-79.371207,"43.6574766,-79.373446"
43.658478,-79.415446,"43.660414,-79.415646"
43.658563,-79.441224,"43.6587734,-79.443054"
43.6586,-79.439172,"43.6586525,-79.440502"
43.658604,-79.385121,"43.65988,-79.38279"
43.658607,-79.35061,"43.6593483,-79.34993659999999"
