,free_bikes,empty_slots,slots,altitude,ebikes,has_ebikes,normal_bikes,renting,returning,uid,Updated,lat-long
602,8,7,15,0.0,0,True,8,1,1,7345,1824h,"43.6408346,-79.3429074"
603,2,21,23,0.0,0,True,2,1,1,7521,1824h,"43.6586525,-79.440502"
604,13,6,19,0.0,0,True,13,1,1,7728,1824h,"43.6585504,-79.4497659"
605,17,10,28,0.0,0,True,17,1,1,7719,1824h,"43.6484201,-79.40051919999999"
606,8,2,11,0.0,0,True,8,1,1,7718,1824h,"43.6461512,-79.3998214"
607,7,4,11,0.0,0,True,7,1,1,7715,1824h,"43.693187,-79.314283"
608,3,6,11,0.0,0,True,3,1,1,7717,1824h,"43.6425791,-79.40011729999999"
609,9,6,19,0.0,0,True,9,1,1,7716,1824h,"43.6469251,-79.3733192"
610,14,0,16,0.0,0,True,14,1,1,7720,1824h,"43.644395,-79.40065430000001"
611,3,5,11,0.0,0,True,3,1,1,7721,1824h,"43.6463574,-79.391206"
612,1,14,15,0.0,0,True,1,1,1,7724,1824h,"43.6682342,-79.3702641"
613,0,15,15,0.0,0,True,0,1,1,7725,1824h,"43.6791876,-79.39071899999999"
614,0,14,15,0.0,0,True,0,1,1,7130,1824h,"43.674446,-79.398331"
615,14,5,19,0.0,0,True,14,1,1,7680,1824h,"43.6334636,-79.4143057"
616,5,9,14,0.0,0,True,5,1,1,7243,1824h,"43.6352007,-79.4187711"
617,23,4,31,0.0,4,True,19,1,1,7729,1824h,"43.6501644,-79.48296909999999"
618,40,0,43,0.0,0,True,40,1,1,7730,1824h,"43.636804,-79.408832"
619,4,16,20,0.0,0,True,4,1,1,7548,1824h,"43.6658804,-79.38761010000002"
620,4,11,15,0.0,0,True,4,1,1,7731,1824h,"43.68035,-79.28357"
621,11,7,18,0.0,0,True,11,1,1,7505,1824h,"43.6535052,-79.3667689"
622,6,9,15,0.0,0,True,6,1,1,7738,1824h,"43.702418581463505,-79.2563167072858"
623,4,10,14,0.0,0,True,4,1,1,7732,1824h,"43.68824135931814,-79.27046628033244"
624,8,7,15,0.0,0,True,8,1,1,7735,1824h,"43.691688,-79.265027"
625,5,10,15,0.0,0,True,5,1,1,7737,1824h,"43.697490048103,-79.25655146462776"
626,7,8,15,0.0,0,True,7,1,1,7736,1824h,"43.69401297794256,-79.26257204548136"
627,7,7,15,0.0,0,True,7,1,1,7739,1824h,"43.70643614257429,-79.25104443353288"
628,5,10,15,0.0,0,True,5,1,1,7733,1824h,"43.6929478,-79.28339980000001"
629,5,10,15,0.0,0,True,5,1,1,7734,1824h,"43.6950192,-79.27180659999999"
630,8,11,19,0.0,0,True,8,1,1,7743,1824h,"43.69263249999999,-79.4627536"
631,2,11,15,0.0,1,True,1,1,1,7740,1824h,"43.7105975,-79.2541175"
632,2,17,19,0.0,0,True,2,1,1,7742,1824h,"43.69415,-79.45782580000001"
633,7,11,19,0.0,0,True,7,1,1,7251,1824h,"43.668500046272165,-79.3946235999697"
634,7,11,19,0.0,0,True,7,1,1,7746,1824h,"43.70163,-79.44099"
635,10,5,15,0.0,1,True,9,1,1,7745,1824h,"43.688028,-79.460265"
636,15,8,23,0.0,0,True,15,1,1,7744,1824h,"43.68323,-79.455765"
637,11,3,14,0.0,0,True,11,1,1,7747,1824h,"43.69466,-79.45376999999999"
638,4,4,9,0.0,0,True,4,1,1,7094,1824h,"43.6784834,-79.3513564"
639,12,6,19,0.0,0,True,12,1,1,7748,1824h,"43.65016869999999,-79.4963345"
640,12,1,15,0.0,0,True,12,1,1,7749,1824h,"43.6492,-79.50601999999999"
641,5,9,15,0.0,0,True,5,1,1,7750,1824h,"43.6897656,-79.2939525"
642,9,7,17,0.0,0,True,9,1,1,7543,1824h,"43.6537513,-79.4028245"
643,14,9,23,0.0,0,True,14,1,1,7752,1824h,"43.6357643,-79.4674917"
644,14,1,15,0.0,1,True,13,1,1,7751,1824h,"43.64839,-79.51008"
645,4,10,15,0.0,0,True,4,1,1,7753,1824h,"43.62369169999999,-79.4838132"
646,9,6,15,0.0,0,True,9,1,1,7741,1824h,"43.648657,-79.458111"
647,22,1,23,0.0,1,True,21,1,1,7025,1824h,"43.671293,-79.380471"
648,6,9,15,0.0,0,True,6,1,1,7754,1824h,"43.699327072589426,-79.4493630391668"
649,6,9,15,0.0,0,True,6,1,1,7755,1824h,"43.63560589999999,-79.4934616"
650,18,0,18,0.0,0,True,18,1,1,7756,1824h,"43.7611741,-79.5114452"
651,17,1,18,0.0,15,True,2,1,1,7757,1824h,"43.6428899,-79.3946346"
652,10,8,18,0.0,0,True,10,1,1,7758,1824h,"43.7603624,-79.5162777"
653,15,6,22,0.0,0,True,15,1,1,7760,1824h,"43.62313,-79.4918"
654,0,14,15,0.0,0,True,0,1,1,7759,1824h,"43.772445,-79.511912"
