free_bikes,empty_slots,slots,altitude,ebikes,normal_bikes,renting,returning,uid,Updated,name,distance,popularity,open_now,rating,my_timestamp,cat1_id,cat1_name
13,1,15,0.0,0,13,1,1,7108,1824h,Soulpepper Theatre Co,220,0.8630041508236305,False,7.6,2022-12-05 11:33:11.422104-05:00,13035.0,Coffee Shop
13,1,15,0.0,0,13,1,1,7108,1824h,Brick Street Bakery,252,0.9335930450367476,True,8.5,2022-12-05 11:33:11.422109-05:00,13027.0,Bistro
13,1,15,0.0,0,13,1,1,7108,1824h,Maserati Alfa Romeo Service,132,0.1200191672215618,False,,2022-12-05 11:33:11.422115-05:00,13034.0,Café
13,1,15,0.0,0,13,1,1,7108,1824h,Stacklab,136,0.1839119801357885,True,,2022-12-05 11:33:11.422120-05:00,11011.0,Car Wash and Detail
13,1,15,0.0,0,13,1,1,7108,1824h,Mill Street Brew Pub,259,0.9758107174639524,False,8.3,2022-12-05 11:33:11.422126-05:00,13064.0,Pizzeria
13,1,15,0.0,0,13,1,1,7108,1824h,Wildly Delicious,252,0.9112644765419344,True,8.0,2022-12-05 11:33:11.422132-05:00,11097.0,Professional Cleaning Service
13,1,15,0.0,0,13,1,1,7108,1824h,The Distillery Historic District,281,0.9994212494788134,True,9.2,2022-12-05 11:33:11.422137-05:00,15000.0,Health and Medicine
13,1,15,0.0,0,13,1,1,7108,1824h,Volvo,149,0.9112146915508648,True,,2022-12-05 11:33:11.422142-05:00,13064.0,Pizzeria
13,1,15,0.0,0,13,1,1,7108,1824h,Tori's Bakeshop,149,0.3740284147836531,False,,2022-12-05 11:33:11.422148-05:00,13006.0,Beer Bar
13,1,15,0.0,0,13,1,1,7108,1824h,Body Blitz Spa Inc,256,0.8930120541909627,True,7.6,2022-12-05 11:33:11.422153-05:00,13305.0,Burrito Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,Tandem Coffee,291,0.9343211505311436,True,8.6,2022-12-05 11:33:11.422158-05:00,17029.0,Convenience Store
13,1,15,0.0,0,13,1,1,7108,1824h,Downtown Infiniti,158,0.2977329159691582,False,,2022-12-05 11:33:11.422163-05:00,13064.0,Pizzeria
13,1,15,0.0,0,13,1,1,7108,1824h,Roselle Desserts,303,0.9074621478489772,False,9.0,2022-12-05 11:33:11.422168-05:00,17029.0,Convenience Store
13,1,15,0.0,0,13,1,1,7108,1824h,Sports Time,169,0.1167582503064888,False,,2022-12-05 11:33:11.422173-05:00,17065.0,Farmers' Market
13,1,15,0.0,0,13,1,1,7108,1824h,Canary Market,170,0.5582577742375118,False,,2022-12-05 11:33:11.422178-05:00,,
13,1,15,0.0,0,13,1,1,7108,1824h,Trinity Studios,173,0.3387495254868038,False,,2022-12-05 11:33:11.422184-05:00,13065.0,Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,Running Room,174,0.6537453871094212,False,,2022-12-05 11:33:11.422189-05:00,13033.0,Bubble Tea Shop
13,1,15,0.0,0,13,1,1,7108,1824h,Morning Glory Cafe,262,0.8519767753016659,True,7.2,2022-12-05 11:33:11.422194-05:00,13377.0,Vegan and Vegetarian Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,Caffe Furbo,304,0.8410178541424224,True,8.0,2022-12-05 11:33:11.422199-05:00,13034.0,Café
13,1,15,0.0,0,13,1,1,7108,1824h,Pure Spirits Oyster House & Grill,253,0.9113516002763068,True,6.9,2022-12-05 11:33:11.422204-05:00,13065.0,Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,Terroni Sud Forno Produzione E Spaccio,187,0.9576018569801668,False,,2022-12-05 11:33:11.422209-05:00,13040.0,Dessert Shop
13,1,15,0.0,0,13,1,1,7108,1824h,Balzac's Coffee Roastery,326,0.9766695085599068,True,8.4,2022-12-05 11:33:11.422214-05:00,13145.0,Fast Food Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,Cosmic Karma,188,0.8648648648648649,False,,2022-12-05 11:33:11.422220-05:00,11121.0,Media Agency
13,1,15,0.0,0,13,1,1,7108,1824h,Fresh Home and Garden,189,0.8499853756588732,True,,2022-12-05 11:33:11.422225-05:00,16032.0,Park
13,1,15,0.0,0,13,1,1,7108,1824h,Sukhothai,336,0.92272747073576,False,8.7,2022-12-05 11:33:11.422230-05:00,11045.0,Bank
13,1,15,0.0,0,13,1,1,7108,1824h,Public Affairs Association of Canada,131,,False,,2022-12-05 11:33:11.422235-05:00,13003.0,Bar
13,1,15,0.0,0,13,1,1,7108,1824h,Toronto Green P Parking,133,,False,,2022-12-05 11:33:11.422240-05:00,16032.0,Park
13,1,15,0.0,0,13,1,1,7108,1824h,All City Storage,198,0.8916367438126591,True,,2022-12-05 11:33:11.422246-05:00,12101.0,Church
13,1,15,0.0,0,13,1,1,7108,1824h,Cacao 70,346,0.9468047370419004,True,8.5,2022-12-05 11:33:11.422251-05:00,11122.0,Metals Supplier
13,1,15,0.0,0,13,1,1,7108,1824h,John Fluevog,321,0.8699491570778699,True,7.8,2022-12-05 11:33:11.422256-05:00,17034.0,Discount Store
13,1,15,0.0,0,13,1,1,7108,1824h,Kodiak Gallery,209,0.654753533178585,False,,2022-12-05 11:33:11.422261-05:00,13058.0,Hot Dog Joint
13,1,15,0.0,0,13,1,1,7108,1824h,Fuel,210,0.9562701084690493,True,,2022-12-05 11:33:11.422266-05:00,13263.0,Japanese Restaurant
13,1,15,0.0,0,13,1,1,7108,1824h,Enoch Turner Schoolhouse,264,0.8868387152983055,True,6.6,2022-12-05 11:33:11.422272-05:00,13034.0,Café
13,1,15,0.0,0,13,1,1,7108,1824h,Long & McQuade Pro,214,0.8281297645792235,True,,2022-12-05 11:33:11.422276-05:00,13040.0,Dessert Shop
13,1,15,0.0,0,13,1,1,7108,1824h,Canary Eye Care,216,0.9476821975095058,True,,2022-12-05 11:33:11.422281-05:00,17033.0,Department Store
13,1,15,0.0,0,13,1,1,7108,1824h,Chrysler Dodge Toronto Sales Ltd,224,0.9075866103266518,True,,2022-12-05 11:33:11.422287-05:00,13276.0,Sushi Restaurant
9,0,11,0.0,0,9,1,1,7069,1824h,Nobis,22,0.8786801998867392,True,9.1,2022-12-05 11:33:12.140295-05:00,17065.0,Farmers' Market
9,0,11,0.0,0,9,1,1,7069,1824h,Get Outside,39,0.9470910007405516,True,9.0,2022-12-05 11:33:12.140319-05:00,16037.0,Playground
